Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2504867	Alstom	1.000,00		 € 0,660 	Rame	 € 8,6697 	 € 9,3297 	 € 9,3300 	5,00%	 € 0,4665 	 € 0,1399 	 € -     	 € -     	 € 139,9448 	 € 0,0003 	 € 0,1383 	 € 140,0831 	01/12/2026				12	2026
2504857	Rema	1.000,00		 € 0,700 	Rame	 € 9,8415 	 € 10,5415 	 € 10,5415 	5,00%	 € 0,5271 	 € 0,1581 	 € -     	 € -     	 € 158,1223 	 € 0,0000 	 € 0,0045 	 € 158,1269 	15/01/2026				1	2026
2504857	Rema	5.000,00		 € 0,700 	Rame	 € 9,8415 	 € 10,5415 	 € 10,5415 	5,00%	 € 0,5271 	 € 0,1581 	 € -     	 € -     	 € 790,6116 	 € 0,0000 	 € 0,0227 	 € 790,6344 	15/01/2026				1	2026
2504857	Rema	5.000,00		 € 0,700 	Rame	 € 9,8415 	 € 10,5415 	 € 10,5415 	5,00%	 € 0,5271 	 € 0,1581 	 € -     	 € -     	 € 790,6116 	 € 0,0000 	 € 0,0227 	 € 790,6344 	15/01/2026				1	2026
2504948	Ansaldo	3.200,00		 € 3,260 	Rame	 € 9,9315 	 € 13,1915 	 € 13,7260 	4,00%	 € 0,5277 	 € -     	 € -     	 € 0,2608 	 € 834,5600 	 € 0,4400 	 € 563,2000 	 € 1.397,7600 	09/02/2026				2	2026
2505342/25008359	Omis	1.189,00		 € 0,730 	Rame	 € 10,0144 	 € 10,7444 	 € 12,1770 	5,00%	 € 0,5372 	 € 0,1612 	 € -     	 € -     	 € 191,6268 	 € 1,4326 	 € 681,3328 	 € 872,9596 		OK			0	0
2504990	Rema	1.000,00		 € 0,700 	Rame	 € 10,1518 	 € 10,8518 	 € 11,0020 	5,00%	 € 0,5426 	 € 0,1628 	 € -     	 € -     	 € 162,7775 	 € 0,1502 	 € 60,0664 	 € 222,8439 	15/01/2026				1	2026
2504978	Cabur	300,00		 € 0,900 	Rame	 € 10,1518 	 € 11,0518 	 € 11,0518 	5,00%	 € 0,5526 	 € 0,1658 	 € -     	 € -     	 € 49,7333 	 € -     	 € -     	 € 49,7333 	24/11/2025				11	2025
2504991	Cabur	3.600,00		 € 0,770 	Rame	 € 10,1221 	 € 10,8921 	 € 10,8921 	5,00%	 € 0,5446 	 € 0,1634 	 € -     	 € -     	 € 588,1717 	 € 0,0000 	 € 0,0453 	 € 588,2170 	03/02/2026				2	2026
2505131	Alstom	5.800,00		 € 0,660 	Rame	 € 10,2288 	 € 10,8888 	 € 10,8888 	5,00%	 € 0,5444 	 € 0,1633 	 € -     	 € -     	 € 947,3288 	 € -     	 € -     	 € 947,3288 	31/01/2026				1	2026
